5,62500005,0.000000,0.000000,0.000000,
6,31250006,0.000514,0.000462,0.000797,
7,15625007,0.000714,0.000618,0.001144,
8,7812508,0.001079,0.000842,0.001724,
9,3906259,0.001849,0.001334,0.002844,
10,1953135,0.002993,0.002076,0.004577,
11,976573,0.005505,0.003786,0.008611,
12,488293,0.010119,0.006851,0.015447,
13,244153,0.023642,0.016163,0.036640,
14,122084,0.047760,0.033142,0.074611,
15,61050,0.094507,0.065570,0.148506,
16,30533,0.183612,0.127637,0.286519,
17,15275,0.373470,0.260033,0.610267,
18,7647,0.725567,0.507036,1.137409,
19,3833,1.529810,1.084192,2.442863,
20,1927,2.923101,2.066839,4.674949,
21,974,6.130359,4.357869,10.237418,
22,498,13.204881,9.415278,21.706993,
23,261,26.703224,19.144834,44.680654,
24,143,53.818340,38.594372,89.990070,
25,84,105.278409,75.623835,177.057629,
26,55,224.074105,161.501798,378.005050,
