n,平台,x86 linux,,"优化率
(优化前-优化后)/优化前",arm64 linux,,"优化率
(优化前-优化后)/优化前",x86 windows,,"优化率
(优化前-优化后)/优化前"
,编译命令,clang++ -pthread -o Ia Ia.cpp,,,aarch64-linux-gnu-g++ -static -o Ia -march=armv8.2-a Ia.cpp,,,g++ -o Ia Ia.cpp(mingw),,
,重复次数,平凡算法,cache优化算法,,平凡算法,cache优化算法,,平凡算法,cache优化算法,
,,平均时间/ms,平均时间/ms,,平均时间/ms,平均时间/ms,,平均时间/ms,平均时间/ms,
2950,67,58.807845,29.605678,49.66%,144.054381,92.326448,35.91%,76.624191,16.296261,78.73%
3000,66,61.252172,29.931753,51.13%,147.815912,95.545803,35.36%,76.120197,16.258967,78.64%
3050,65,63.032403,30.874835,51.02%,159.555009,105.490551,33.88%,79.542623,17.104042,78.50%
3100,64,65.5608,31.523494,51.92%,159.774134,102.55537,35.81%,84.724291,18.25028,78.46%
3150,63,67.875631,33.499873,50.65%,170.868469,107.963828,36.81%,85.512816,18.151713,78.77%
3200,62,69.784398,34.368712,50.75%,169.874032,106.697924,37.19%,91.600906,19.852406,78.33%
3250,61,74.611948,36.331187,51.31%,176.573502,110.557812,37.39%,96.486766,21.658633,77.55%
3300,60,75.504062,37.443571,50.41%,181.455544,113.730538,37.32%,94.373877,20.45775,78.32%
3350,59,77.747945,36.280155,53.34%,187.338351,120.680036,35.58%,97.460527,21.88032,77.55%
3400,58,80.31331,37.611338,53.17%,194.557111,122.970281,36.79%,99.675259,23.06529,76.86%
3450,57,84.284524,41.438616,50.83%,201.435308,127.384341,36.76%,100.813723,22.428633,77.75%
3500,57,84.870848,40.13058,52.72%,213.634158,138.987766,34.94%,103.858404,24.73003,76.19%
3550,56,87.957138,40.881731,53.52%,216.390539,136.21128,37.05%,104.33127,23.678911,77.30%
3600,55,93.847236,45.573556,51.44%,219.347474,134.361057,38.75%,106.343533,24.11674,77.32%
3650,54,93.582715,45.099317,51.81%,230.24507,145.934436,36.62%,108.725174,25.05065,76.96%
3700,54,95.089252,46.020148,51.60%,237.164122,150.47018,36.55%,110.161983,25.770687,76.61%
3750,53,97.938547,47.808032,51.19%,240.560324,153.511516,36.19%,112.69386,26.365664,76.60%
3800,52,101.067985,47.226192,53.27%,246.253404,157.833449,35.91%,116.085138,27.943758,75.93%
