n,cnt,优化前,优化后,
50,4000,0.020028,0.019790,
100,2000,0.087326,0.081652,
150,1333,0.226428,0.210988,
200,1000,0.431131,0.398467,
250,800,0.619407,0.569081,
300,666,1.009841,0.914406,
350,571,1.223482,1.118040,
400,500,1.799418,1.589597,
450,444,2.254705,1.939552,
500,400,2.909631,2.490940,
550,363,3.543910,2.969361,
600,333,4.304229,3.684846,
650,307,5.194803,4.327230,
700,285,6.399250,5.429312,
750,266,7.322316,6.174124,
800,250,7.444789,6.193108,
850,235,8.739244,7.322122,
900,222,10.702217,9.058440,
950,210,11.360740,9.584565,
1000,200,11.689093,9.526691,
1050,190,13.749598,11.295722,
1100,181,15.577216,12.821147,
1150,173,17.790813,14.908874,
1200,166,18.712053,15.154170,
1250,160,19.926996,16.078986,
1300,153,21.479461,17.270157,
1350,148,25.188696,20.374395,
1400,142,24.720164,19.303016,
1450,137,27.200404,20.508822,
1500,133,30.996336,24.081610,
1550,129,32.074072,23.392275,
1600,125,34.301767,26.181715,
1650,121,36.791795,26.200016,
1700,117,39.965658,28.856915,
1750,114,43.342016,32.412727,
1800,111,46.230929,33.540949,
1850,108,49.018298,35.671909,
1900,105,51.927478,36.906304,
1950,102,55.147266,38.454083,
2000,100,58.948818,41.307003,
2050,97,62.232012,42.200252,
2100,95,65.128602,43.105912,
2150,93,74.926239,49.267849,
2200,90,72.151754,47.587093,
2250,88,77.019509,52.542741,
2300,86,79.093271,52.688597,
2350,85,85.144791,57.994990,
2400,83,87.493641,55.775189,
2450,81,92.186578,59.602295,
2500,80,97.369620,63.257813,
2550,78,103.465199,70.123826,
2600,76,108.736643,71.921732,
2650,75,120.029997,74.384847,
2700,74,114.874363,72.421694,
2750,72,126.191065,84.646485,
2800,71,131.464032,88.341690,
2850,70,129.864219,81.848009,
2900,68,142.182300,94.222649,
2950,67,144.054381,92.326448,
3000,66,147.815912,95.545803,
3050,65,159.555009,105.490551,
3100,64,159.774134,102.555370,
3150,63,170.868469,107.963828,
3200,62,169.874032,106.697924,
3250,61,176.573502,110.557812,
3300,60,181.455544,113.730538,
3350,59,187.338351,120.680036,
3400,58,194.557111,122.970281,
3450,57,201.435308,127.384341,
3500,57,213.634158,138.987766,
3550,56,216.390539,136.211280,
3600,55,219.347474,134.361057,
3650,54,230.245070,145.934436,
3700,54,237.164122,150.470180,
3750,53,240.560324,153.511516,
3800,52,246.253404,157.833449,
3850,51,274.078478,165.461141,
3900,51,281.323488,168.184488,
3950,50,286.401193,167.686718,
4000,50,276.811054,174.833455,
4050,49,285.491352,177.358544,
4100,48,291.905438,177.261268,
4150,48,314.561271,185.483380,
4200,47,301.352457,180.172345,
4250,47,311.050868,187.736247,
4300,46,330.493893,205.959173,
4350,45,347.618730,208.495454,
4400,45,338.637509,207.475458,
4450,44,351.074010,221.295192,
4500,44,355.855114,220.207990,
4550,43,367.472033,233.462515,
4600,43,385.868190,254.657535,
4650,43,379.064323,226.534714,
4700,42,403.351044,266.149990,
4750,42,402.604361,251.045310,
4800,41,412.897453,249.283908,
4850,41,440.217184,263.028038,
4900,40,431.733914,260.936651,
4950,40,428.896434,255.118858,
5000,40,459.431193,274.974665,
